# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000100.1	1	436	-							IR085_RS08560	436		partial;old_locus_tag=IR085_08560
CDS	with_protein	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000100.1	1	436	-	WP_179941977.1	WP_179941977.1		PAS domain S-box protein			IR085_RS08560	436	145	partial
gene	protein_coding	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000101.1	1	434	+							IR085_RS08565	434		partial;old_locus_tag=IR085_08565
CDS	with_protein	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000101.1	1	434	+	WP_179941978.1	WP_179941978.1		isochorismatase family protein			IR085_RS08565	434	144	partial
gene	protein_coding	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000102.1	112	433	+							IR085_RS08570	322		partial;old_locus_tag=IR085_08570
CDS	with_protein	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000102.1	112	433	+	WP_179941979.1	WP_179941979.1		serine hydrolase			IR085_RS08570	322	107	partial
gene	protein_coding	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000103.1	1	393	+							IR085_RS08575	393		partial;old_locus_tag=IR085_08575
CDS	with_protein	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000103.1	1	393	+	WP_179941980.1	WP_179941980.1		NAD(P)H-dependent oxidoreductase			IR085_RS08575	393	130	partial
gene	pseudogene	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000104.1	1	431	-							IR085_RS08580	431		partial;pseudo;old_locus_tag=IR085_08580
CDS	without_protein	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000104.1	1	431	-				chromosome segregation protein SMC			IR085_RS08580	431		partial;pseudo
gene	protein_coding	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000105.1	1	431	+							IR085_RS08585	431		partial;old_locus_tag=IR085_08585
CDS	with_protein	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000105.1	1	431	+	WP_179941981.1	WP_179941981.1		FAD binding domain-containing protein			IR085_RS08585	431	143	partial
gene	protein_coding	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000106.1	1	370	-					accB		IR085_RS08590	370		partial;old_locus_tag=IR085_08590
CDS	with_protein	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000106.1	1	370	-	WP_179941982.1	WP_179941982.1		acetyl-CoA carboxylase biotin carboxyl carrier protein	accB		IR085_RS08590	370	123	partial
gene	protein_coding	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000107.1	1	430	-							IR085_RS08595	430		partial;old_locus_tag=IR085_08595
CDS	with_protein	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000107.1	1	430	-	WP_179941983.1	WP_179941983.1		trehalose-6-phosphate synthase			IR085_RS08595	430	143	partial
gene	pseudogene	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000108.1	1	430	+							IR085_RS08600	430		partial;pseudo;old_locus_tag=IR085_08600
CDS	without_protein	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000108.1	1	430	+				hypothetical protein			IR085_RS08600	430		partial;pseudo
gene	protein_coding	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000109.1	1	430	+							IR085_RS08605	430		partial;old_locus_tag=IR085_08605
CDS	with_protein	GCF_015234765.1	Primary Assembly	unplaced scaffold		NZ_JADGKN010000109.1	1	430	+	WP_179941984.1	WP_179941984.1		amidohydrolase family protein			IR085_RS08605	430	143	partial
