# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959913.1	225	1220	+							HMPREF3186_00001	996		
CDS	with_protein	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959913.1	225	1220	+	KXB64434.1			hypothetical protein			HMPREF3186_00001	996	331	
gene	protein_coding	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959913.1	1231	1410	+							HMPREF3186_00002	180		
CDS	with_protein	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959913.1	1231	1410	+	KXB64435.1			hypothetical protein			HMPREF3186_00002	180	59	
gene	protein_coding	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959913.1	1419	1703	+							HMPREF3186_00003	285		
CDS	with_protein	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959913.1	1419	1703	+	KXB64436.1			hypothetical protein			HMPREF3186_00003	285	94	
gene	protein_coding	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959913.1	1881	2011	+							HMPREF3186_00004	131		partial
CDS	with_protein	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959913.1	1881	2011	+	KXB64437.1			hypothetical protein			HMPREF3186_00004	131	43	partial
gene	protein_coding	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959914.1	1	287	-							HMPREF3186_00005	287		partial
CDS	with_protein	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959914.1	1	287	-	KXB64401.1			hypothetical protein			HMPREF3186_00005	287	96	partial
gene	protein_coding	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959914.1	274	720	-							HMPREF3186_00006	447		partial
CDS	with_protein	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959914.1	274	720	-	KXB64402.1			hypothetical protein			HMPREF3186_00006	447	148	partial
gene	protein_coding	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959915.1	87	1820	-							HMPREF3186_00007	1734		
CDS	with_protein	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959915.1	87	1820	-	KXB64396.1			ABC transporter, ATP-binding protein			HMPREF3186_00007	1734	577	
gene	protein_coding	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959915.1	1807	3570	-							HMPREF3186_00008	1764		
CDS	with_protein	GCA_001553035.1	Primary Assembly	unplaced scaffold		KQ959915.1	1807	3570	-	KXB64397.1			ABC transporter, ATP-binding protein			HMPREF3186_00008	1764	587	
